time, x, y, z, lightStrength, temp, humidity 
50,0.35,10.16,-0.51,164.00,25.10,46.00, 
100,0.35,10.20,-0.55,271.00,25.10,46.00, 
150,0.31,10.12,-0.51,326.00,25.10,46.00, 
200,0.39,10.16,-0.51,358.00,25.10,46.00, 
250,0.35,10.16,-0.51,377.00,25.10,46.00, 
300,0.35,10.20,-0.51,372.00,25.10,46.00, 
350,0.43,10.12,-0.51,377.00,25.10,46.00, 
400,0.31,10.12,-0.51,386.00,25.10,46.00, 
450,0.35,10.20,-0.47,356.00,25.10,46.00, 
500,0.35,10.16,-0.51,354.00,25.10,46.00, 
550,0.35,10.12,-0.55,375.00,25.10,46.00, 
600,0.27,10.12,-0.51,383.00,25.10,46.00, 
650,0.35,10.16,-0.59,383.00,25.10,46.00, 
700,0.39,10.16,-0.51,388.00,25.10,46.00, 
750,0.35,10.12,-0.51,389.00,25.10,46.00, 
800,0.35,10.16,-0.51,398.00,25.10,46.00, 
850,0.35,10.16,-0.51,393.00,25.10,46.00, 
900,0.43,10.16,-0.51,393.00,25.10,46.00, 
950,0.31,10.16,-0.51,387.00,25.10,46.00, 
1000,0.31,10.12,-0.51,390.00,25.10,46.00, 
1050,0.35,10.16,-0.51,388.00,25.10,46.00, 
1100,0.35,10.16,-0.55,360.00,25.10,46.00, 
1150,0.35,10.16,-0.51,356.00,25.10,46.00, 
1200,0.35,10.20,-0.51,368.00,25.10,46.00, 
1250,0.35,10.16,-0.55,323.00,25.10,46.00, 
1300,0.35,10.20,-0.55,351.00,25.00,46.00, 
1350,0.31,10.20,-0.51,370.00,25.00,46.00, 
1400,0.35,10.16,-0.55,382.00,25.00,46.00, 
1450,0.39,10.12,-0.51,385.00,25.00,46.00, 
1500,0.35,10.16,-0.47,386.00,25.00,46.00, 
1550,0.31,10.12,-0.55,389.00,25.00,46.00, 
1600,0.39,10.16,-0.47,384.00,25.00,46.00, 
1650,0.39,10.16,-0.51,388.00,25.00,46.00, 
1700,0.35,10.16,-0.51,367.00,25.00,46.00, 
1750,0.31,10.24,-0.55,375.00,25.00,46.00, 
1800,0.35,10.16,-0.47,389.00,25.00,46.00, 
1850,0.35,10.12,-0.51,392.00,25.00,46.00, 
1900,0.35,10.20,-0.55,364.00,25.00,46.00, 
1950,0.35,10.20,-0.51,371.00,25.00,46.00, 
2000,0.31,10.20,-0.51,375.00,25.00,46.00, 
2050,0.35,10.16,-0.55,374.00,25.00,46.00, 
2100,0.35,10.20,-0.51,391.00,25.00,46.00, 
2150,0.35,10.16,-0.55,392.00,25.00,46.00, 
2200,0.35,10.08,-0.51,366.00,25.00,46.00, 
2250,0.35,10.12,-0.51,347.00,25.00,46.00, 
